Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Review	Clinical Domain	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
416	NCT04015466	Advanced GC Multi-omic Characterization in EU and CELAC Populations	LEGACY-2	Recruiting	No Results Available	Gastric Cancer				"Development of a new diagnostic algorithm for gastric cancer that includes molecular landscape, patient history, histopathological and environmental factors, personal microbiome and immune landscape|Proteomic analysis of gastric cancer tissue|Genomics (tumour next-generation sequencing)|Transcriptomics (Nanostring immune gene expression panel)|Microbiota sequencing (including level of Epstein-Barr virus [EBV] DNA)|Dietary habits as assessed by a new study-specific questionnaire|Biological risk factors as assessed through medical chart review|Daily routines as assessed by a new study-specific questionnaire"	Fundación para la Investigación del Hospital Clínico de Valencia|Instituto Nacional de Cancerologia de Mexico|VU University Medical Center|Pontificia Universidad Catolica de Chile|Vall d'Hebron Institute of Oncology|INSTITUTO ALEXANDER FLEMING|Hospital Central del IPS|INSTITUTO DE PATOLOGIA E IMUNOLOGIA MOLECULAR DA UNIVERSIDADE DO PORTO PCUP	All	"18 Years to 90 Years   (Adult, Older Adult)"		800	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	LEGACY-2	"June 12, 2019"	31-Dec-21	31-Dec-21	11-Jul-19		5-Feb-20	"Instituto Alexander Fleming, Buenos Aires, Argentina|Pontificia Universidad Católica de Chile, Santiago, Chile|Instituto Nacional de Cancerología de México, Mexico, Mexico|VU Medical Centre, Amsterdam, Netherlands|GenPat, Asunción, Paraguay|Institute of Pathology and Immunology of University of Porto, Porto, Portugal|Vall d'Hebron Institut d'Oncologia, Barcelona, Spain|Hospital Clínico Univeristario de Valencia, Valencia, Spain"		https://ClinicalTrials.gov/show/NCT04015466
417	NCT03193528	A Novel Multiplex ELISA Assay for Evaluating Patients With Gross Hematuria for Bladder Cancer		Recruiting	No Results Available	Bladder Cancer				"To examine the sensitivity and specificity of the multiplex ELISA assay directed at a BCa-associated diagnostic signature in voided urine samples to reference standard of cystoscopy in a cohort of 450 participants presenting with gross hematuria.|To compare the sensitivity and specificity of the multiplex ELISA assay to VUC and NMP22® BladderChek to reference standard of cystoscopy in this cohort.|To develop a BCa risk calculator from this cohort using cutting edge machine learning techniques (e.g., random forest) incorporating biomarker data and clinical data."	University of Hawaii|Fred Hutchinson Cancer Research Center|University of Texas	All	"18 Years and older   (Adult, Older Adult)"		450	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	Rosser-2015-7	"December 30, 2016"	30-Dec-21	30-Dec-22	20-Jun-17		20-Jun-17	"University of Hawaii Cancer Center, Honolulu, Hawaii, United States"		https://ClinicalTrials.gov/show/NCT03193528
418	NCT03777098	Pilot Study of Strepic® Device for the Diagnosis of Group A Streptococcal Pharyngitis		Recruiting	No Results Available	Group A Streptococcal Infection			Device: Strepic® Device	Strepic Device Image|Throat culture or PCR result	"David A. Talan|YES Biotechnology, Inc.|Olive View-UCLA Education & Research Institute"	All	"7 Years to 64 Years   (Child, Adult)"		1000	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	18-Jan	"January 2, 2019"	30-May-19	30-Aug-19	17-Dec-18		13-Mar-19	"Olive View-UCLA Medical Center, Sylmar, California, United States"		https://ClinicalTrials.gov/show/NCT03777098
419	NCT03972787	Effects of a Proactive Social Robot for Older Adults in Reducing Loneliness and Social Isolation		Recruiting	No Results Available	Loneliness|Mood|Quality of Life			Device: Proactive social robot	"University of California, Los Angeles Loneliness (UCLA) V3 Scale - Change is Being Assessed"	Baycrest|Jewish Senior Living Group|Intuition Robotics	All	70 Years and older   (Older Adult)	Not Applicable	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other	REB #18-54	"March 5, 2019"	19-Dec	19-Dec	4-Jun-19		4-Jun-19	"Jewish Senior Living Group, San Francisco, California, United States|Baycrest, Toronto, Ontario, Canada"	"Study Protocol and Statistical Analysis Plan, https://ClinicalTrials.gov/ProvidedDocs/87/NCT03972787/Prot_SAP_000.pdf"	https://ClinicalTrials.gov/show/NCT03972787
420	NCT03692247	The Impact of Music Therapy on Nociceptive Processing		Completed	No Results Available	Pain|Chronic Pain			Other: Smartphone-based Music Intervention	Changes in Pain Sensitivity in the Presence of Music	Brigham and Women's Hospital	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	60	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other	2017P002872	"June 7, 2018"	18-Jul-18	18-Jul-18	2-Oct-18		30-Jan-19	"Brigham and Women's Hospital, Brookline, Massachusetts, United States"		https://ClinicalTrials.gov/show/NCT03692247
421	NCT02781012	Project Survival-Prospective Biomarker Discovery		"Active, not recruiting"	No Results Available	Pancreatic Neoplasms|Pancreatic Cancer|Pancreatitis|Pancreatic Adenocarcinoma|Metastatic Pancreatic Cancer				Berg's Interrogative Biology® Platform	"Pancreatic Cancer Research Team|Berg, LLC"	All	"18 Years and older   (Adult, Older Adult)"		436	Other|Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	PCRT 15-001	"March 1, 2016"	22-Feb	22-Feb	24-May-16		16-Apr-19	"Banner Health - MD Anderson Cancer Center, Gilbert, Arizona, United States|Mayo Clinic - Arizona, Phoenix, Arizona, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Mercy Health - St. Mary's, Grand Rapids, Michigan, United States|Virginia Piper Cancer Institute - Allina Health, Minneapolis, Minnesota, United States|Washington University School of Medicine, Saint Louis, Missouri, United States"		https://ClinicalTrials.gov/show/NCT02781012
422	NCT04226027	Dynamically Tailored Behavioral Interventions in Diabetes		Recruiting	No Results Available	Type 2 Diabetes			Behavioral: T2.coach	Change in HbA1c value|DPSI Score|SCA-I Score|DSES Score|PAID Score	"Columbia University|Clinical Directors Network|University of Colorado, Denver|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"	All	"18 Years to 65 Years   (Adult, Older Adult)"	Not Applicable	280	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other	AAAS5528|R01DK113189	"January 17, 2020"	30-Sep-22	30-Sep-22	13-Jan-20		17-Feb-20	"Clinical Directors Network, New York, New York, United States|Columbia University Irving Medical Center, New York, New York, United States"		https://ClinicalTrials.gov/show/NCT04226027
423	NCT02843529	Evaluation of a Computerized Complex Instrumental Activities of Daily Living Marker (NMI)	AltoidaML	Completed	No Results Available	Alzheimer Disease|Mild Cognitive Impairment|Memory Disorders|Cognitive Impairment|Dementia|Presymptomatic Disease			"Other: Altoida: neuropsychological, MRI, EEG and CSF biomarkers"	"Change in sensitivity , specificity and accuracy of Altoida models|Change from Baseline in Clinical Measure 1|Change from Baseline in Clinical Measure 2|Change from Baseline in Clinical Measure 3|Change from Baseline in Clinical Measure 4|Change from Baseline in Clinical Measure 5|Change from Baseline in Clinical Measure 6|Change from Baseline in Clinical Measure 7|Change from Baseline in Cognitive Measure|Secondary resting state EEG endpoints|Secondary resting state auditory oddball ERP endpoints|Total Abeta 1-42 (Aβ42) amyloid deposition|Change of brain amyloid deposition|Change of CSF biomarkers tau and ptau181 values|MRI (Optional)|Changes in Driving breaking force|Changes in Driving acceleration velocity|Changes in Driving direction|Changes in driving violations"	"Altoida|Greek Alzheimer's Association and Related Disorders|University of Roma La Sapienza|IRCCS Centro San Giovanni di Dio Fatebenefratelli|Neuromed IRCCS|Scripps Health|Global Brain Health Institute (GBHI)|Takeda Pharmaceuticals International, Inc.|Research Center on Computational Biomarkers (RCCBM)|BiHELab - Bioinformatics and Human Electrophysiology Lab|Fundacion Clinic per a la Recerca Biomédica|University of Dublin, Trinity College|University of Barcelona|EIT Health|Hirslanden Hospital Zurich|Center for BrainHealth - The University of Texas at Dallas"	All	"55 Years to 90 Years   (Adult, Older Adult)"	Not Applicable	548	Industry|Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Diagnostic"	altoidaML01	"October 17, 2016"	6-Feb-20	6-Feb-20	26-Jul-16		11-Feb-20			https://ClinicalTrials.gov/show/NCT02843529
424	NCT03911297	DAISy-PCOS Phenome Study - Dissecting Androgen Excess and Metabolic Dysfunction in Polycystic Ovary Syndrome	DAISy-PCOS	Recruiting	No Results Available	Polycystic Ovary Syndrome			Other: Women with polycystic ovary syndrome	Metabolic risk|Dissect the severity and pattern of androgen excess in development of metabolic disease|Eligibility for other PCOS-related studies	University of Birmingham|University Hospital Birmingham NHS Foundation Trust|Birmingham Women's and Children's NHS Foundation Trust|University Hospital of Wales|University Hospitals Coventry and Warwickshire NHS Trust|Royal Infirmary of Edinburgh|The Leeds Teaching Hospitals NHS Trust|St Mary's NHS Trust|Barts & The London NHS Trust	Female	"18 Years to 70 Years   (Adult, Older Adult)"		1000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	RG 18-033|WT209492/Z/17/Z	"August 14, 2019"	1-Jun-21	1-Apr-24	11-Apr-19		2-Oct-19	"Wellcome Trust Clinical Research Facility, Birmingham, West Midlands, United Kingdom"		https://ClinicalTrials.gov/show/NCT03911297
425	NCT02329795	Image-derived Prediction of Response to Chemo-radiation in Glioblastoma	IDEPREG	Terminated	No Results Available	Glioblastoma			Radiation: Radiotherapy|Drug: Temozolomide	Sensitivity and specificity of predicted response|DICE-similarity coefficient and percentage overlap of 64Cu-ATSM and contrast-enhanced T1-weighted MRI|Correlation (volume and maximum values) between lactate and hypoxia	"Rigshospitalet, Denmark"	All	"18 Years and older   (Adult, Older Adult)"		16	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	192/13	"October 1, 2014"	16-Oct	16-Oct	1-Jan-15		12-Oct-17	"Department of Oncology, Section for Radiotherapy, Rigshospitalet, Copenhagen, Denmark"		https://ClinicalTrials.gov/show/NCT02329795
426	NCT03994341	NEC Thermography Infrared Imaging Study		Recruiting	No Results Available	Necrotizing Enterocolitis			Diagnostic Test: A FLIR Thermovision a320M thermal IR camera	Region of interest inclusion|Accurate classification of heat distribution maps as NEC versus Normal	Ottawa Hospital Research Institute|Carleton Unniversity	All	26 Weeks to 42 Weeks   (Child)		15	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	NEC-01	"August 13, 2019"	1-Jun-21	1-Jun-22	21-Jun-19		6-Sep-19	"Children's Hospital of Eastern Ontario, Ottawa, Ontario, Canada|The Ottawa Hospital, Ottawa, Ontario, Canada"		https://ClinicalTrials.gov/show/NCT03994341
427	NCT04012281	International Post PCI FFR Registry		Completed	No Results Available	Coronary Disease		Cardiovascular	Device: Percutaneous coronary intervention	Discrimination index of prediction model for target-vessel failure|Independent predictors for target vessel failure	Seoul National University Hospital|The First Affiliated Hospital with Nanjing Medical University|Tsuchiura Kyodo General Hospital|Keimyung University Dongsan Medical Center|Ulsan University Hospital|Busan Veterans General Hospital|Samsung Medical Center|Sejong General Hospital|Tokyo Medical University|Gifu Heart Center|Japanese Red Cross Kyoto Daini Hospital|Inje University	All	"18 Years to 100 Years   (Adult, Older Adult)"		2228	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	1906-152-1044	"August 17, 2010"	11-Feb-19	28-Mar-19	9-Jul-19		16-Jul-19			https://ClinicalTrials.gov/show/NCT04012281
428	NCT03336411	A Personalized Diet Study to Reduce Glycemic Exposure		Recruiting	No Results Available	Pre-diabetes|Overweight and Obesity			Behavioral: mHealth|Behavioral: Personalized mHealth	"Body weight, percent change|Body Composition|Metabolic Adaptation|Weight regain"	NYU Langone Health|American Heart Association|Weizmann Institute of Science	All	"18 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	200	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment"	17-00741	"December 12, 2017"	20-Mar	20-Sep	8-Nov-17		9-May-19	"New York University School of Medicine, New York, New York, United States"		https://ClinicalTrials.gov/show/NCT03336411
429	NCT03517306	PET/CT Based Radiomics for Lung Cancer (PERL)		Recruiting	No Results Available	Lung Cancer			Other: No Interventions	Creation of a FDG PET/CT based radiomic score for survival|Validation of a FDG PET/CT based radiomic score for survival	Second Affiliated Hospital of Wenzhou Medical University|Beijing Chao Yang Hospital|General Hospital of Ningxia Medical University|Soochow University|First Affiliated Hospital of Wenzhou Medical University	All	"18 Years and older   (Adult, Older Adult)"		1500	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	SAHoWMU-CR2018-05-223	"May 1, 2018"	31-May-19	28-Sep-19	7-May-18		4-Apr-19	"Second Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China"		https://ClinicalTrials.gov/show/NCT03517306
430	NCT01119703	Vaccine Hyporesponse in Healthy Elderly Participants (MK-0000-131 AM2)		Completed	Has Results	Vaccine Response Impaired			Biological: Tetanus & Diphtheria booster vaccine (Td)|Biological: TwinrixTM [Hepatitis A Inactivated & Hepatitis B (Recombinant) Vaccine]|Biological: Dukoral® Traveler's Diarrhea Vaccine (WC/rBS)	"Antibody Titer Responses to Hepatitis B Virus Surface Antigen (HBV sAg) Vaccine, Measured and Predicted Based on Pre-vaccination Biomarkers in Healthy, Elderly Participants.|Antibody Titer Responses to Tetanus Booster Vaccine, Measured and Predicted Based on Pre-vaccination Biomarkers in Healthy, Elderly Participants.|Antibody Titer Responses to Reduced Diphtheria Toxin Vaccine, Measured and Predicted Based on Pre-vaccination Biomarkers in Healthy, Elderly Participants.|Antibody Titer Responses to Oral Cholera Vaccine (WC/rBS), Measured and Predicted Based on Pre-vaccination Biomarkers in Healthy, Elderly Participants.|Post-vaccination Antibody Titer Responses to Different Vaccines in Healthy, Elderly, Participants.|Antibody Titer Responses to Hepatitis B Virus Surface Antigen (HBV sAg) Vaccine, Measured and Predicted Based on Early Post-vaccination Biomarkers in Healthy, Elderly Participants.|Antibody Titer Responses to Tetanus Booster Vaccine, Measured and Predicted Based on Early Post-vaccination Biomarkers in Healthy, Elderly Participants.|Antibody Titer Responses to Reduced Diphtheria Toxin Vaccine, Measured and Predicted Based on Early Post-vaccination Biomarkers in Healthy, Elderly Participants.|Antibody Titer Responses to Oral Cholera Vaccine (WC/rBS), Measured and Predicted Based on Early Post-vaccination Biomarkers in Healthy, Elderly Participants."	Merck Sharp & Dohme Corp.	All	"25 Years and older   (Adult, Older Adult)"		174	Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	0000-131|MK-0000-131	"July 1, 2010"	11-Nov	11-Nov	7-May-10	22-Nov-12	29-Dec-15			https://ClinicalTrials.gov/show/NCT01119703
431	NCT03366558	Identification of Motor Symptoms Related to Parkinson's Disease Using Motion Tracking Sensors at Home	KÄVELI	Recruiting	No Results Available	Parkinson Disease			Diagnostic Test: UPDRS questionnaires|Diagnostic Test: 20-step walking test	Accuracy of the classification of data from movement sensors in relation to the detected motor symptoms|Accuracy of the detection of the time when the Parkinson medicine was taken	Satakunta Central Hospital|Tampere University of Technology	All	"30 Years and older   (Adult, Older Adult)"		150	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	5137/31/2016	"March 27, 2018"	31-Dec-18	31-Dec-18	8-Dec-17		19-Apr-18	"Satakunta Central Hospital, Unit of Neurology, Pori, Finland"		https://ClinicalTrials.gov/show/NCT03366558
432	NCT03560661	Acoustic and Perceptual Markers of Dysarthria in Amyotrophic Lateral Sclerosis (ALS)	SPEECH-ALS	Completed	No Results Available	Amyotrophic Lateral Sclerosis|Primary Lateral Sclerosis|Kennedy's Disease				Number of patients in each patterns of dysarthria|Functional scale with the Norris score|Functional scale with the ALS functional rating scale-R (ALS FRS-R)|Severity of the dysarthria|Clinical examination	"Assistance Publique - Hôpitaux de Paris|Centre National de la Recherche Scientifique, France"	All	"18 Years and older   (Adult, Older Adult)"		71	Other	Observational	Observational Model: Other|Time Perspective: Prospective	NI17040J|2017-A03151-52	"July 5, 2018"	23-Dec-19	23-Dec-19	18-Jun-18		29-Jan-20	"APHP - Hôpital Pitié-Salpêtriere, Paris, France"		https://ClinicalTrials.gov/show/NCT03560661
433	NCT03379532	BCI-controlled NMES in Subacute Stroke		Recruiting	No Results Available	Stroke			Device: BCI-NMES|Device: Sham-NMES	"Change in Upper Limb Fugl-Meyer Score, after treatment|Change in motor evoked potential amplitude of the paretic arm|Change in fractional anisotropy (FA) of the cortico-spinal tract as determined from diffusion tensor imaging|Change in electroencephalography functional connectivity"	"University Hospital, Geneva|Ecole Polytechnique Fédérale de Lausanne|Clinique Romande de Readaptation"	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	32	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment"	CRSII5-170985B	"January 26, 2018"	31-Dec-20	31-Dec-20	20-Dec-17		25-Jul-19	"Division of Neurorehabilitation, University Hospital of Geneva, Geneva, GE, Switzerland|Clinique Romande de Readaptation, Sion, Switzerland"		https://ClinicalTrials.gov/show/NCT03379532
434	NCT04039178	Efficacy of EMF BCI Based Device on Acute Stroke		Recruiting	No Results Available	Acute Stroke			Device: BQ|Device: Sham	Fugle Meyer (FM)|ARAT|BBT|TMT|NIHSS|Promis 10|MoCA|mRs|MRI-DTI|brain recovery biomarkers	BrainQ Technologies Ltd.	All	"18 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	50	Industry	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment"	BQ3	"September 4, 2018"	20-Apr	20-Jun	31-Jul-19		31-Jul-19	"BLK super specialty hospital, New Delhi, India"		https://ClinicalTrials.gov/show/NCT04039178
435	NCT03559582	Diagnostics and Pharmacotherapy for Severe Forms of TB (DMID 15-0100)		Enrolling by invitation	No Results Available	Tuberculosis				"Measure area under the concentration curve (AUC) to anti-tuberculosis (TB) medications relative to TB treatment outcome in severe TB syndromes|Collect stool in patients undergoing pharmacokinetic testing to measure the environmental enteropathy index|Collect stool in patients undergoing pharmacokinetic testing to measure the quantitative burden and species distribution of enteric pathogens by the enteric TAC assay- 35 bacterial, viral, parasitic species)"	"University of Virginia|National Institute of Allergy and Infectious Diseases (NIAID)|Scientific Center for Family Health and Human Reproduction Problems, Russia|Kilimanjaro Christian Medical Centre, Tanzania|Haydom Lutheran Hospital|Mbarara University of Science and Technology|International Centre for Diarrhoeal Disease Research, Bangladesh|University of Florida"	All	"Child, Adult, Older Adult"		713	Other|NIH	Observational	Observational Model: Cohort|Time Perspective: Prospective	18452|U01AI115594	"April 28, 2016"	19-Sep	19-Dec	18-Jun-18		13-Jun-19			https://ClinicalTrials.gov/show/NCT03559582
436	NCT03174574	"Two Cancers, One Gene. Why Some People in Families Develop Melanoma or Pancreas Cancer, While Still Others Never Develop Cancer."	TCOG	Recruiting	No Results Available	Pancreas Cancer|Melanoma				"Genomic and risk factor differences among family members who share identical predisposing CDKN2A gene mutations, with different phenotypes; will discover patterns of tumorigenesis, tissue specificity, gene-gene, and gene-environment interactions."	Mayo Clinic|National Cancer Institute (NCI)	All	"18 Years and older   (Adult, Older Adult)"		500	Other|NIH	Observational	Observational Model: Family-Based|Time Perspective: Prospective	16-005414|R01CA208517	"August 17, 2016"	30-Jun-21	31-Jul-21	2-Jun-17		24-Sep-19	"Mayo Clinic, Rochester, Minnesota, United States"		https://ClinicalTrials.gov/show/NCT03174574
437	NCT03193515	A Novel Multiplex ELISA Assay for Surveilling Patients With History of Bladder Cancer		Recruiting	No Results Available	Bladder Cancer				Sensitivity and specificity of multiplex ELISA assay will be confirmed by cystoscopy.|Sensitivity and specificity of multiplex ELISA assay will be compared to VUC and NMP22 BladderCheck.	University of Hawaii|Fred Hutchinson Cancer Research Center|University of Texas	All	"18 Years and older   (Adult, Older Adult)"		300	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	Rosser-2015-6	"December 30, 2016"	30-Dec-21	30-Dec-22	20-Jun-17		20-Jun-17	"University of Hawaii Cancer Center, Honolulu, Hawaii, United States"		https://ClinicalTrials.gov/show/NCT03193515
438	NCT04132362	Benefits of Personalised Music in Dementia - a Feasibility Study		Not yet recruiting	No Results Available	Dementia			Behavioral: Personalised music listening	"Median time (in hours) required to generate personalised music playlists for participants living with dementia assessed using activity logs recorded by researchers, carers and/or relatives/friends.|Acceptability by participants of the delivery method(s) of personalised playlists in care homes, assessed through qualitative methods such as feedback from participants (people living with dementia, their relatives/friends and their carers).|Extent of correlation between measures of emotional responses of people living with dementia to personalised music listening (using facial expression change algorithm) with direct observation by researchers, documented in activity logs."	Music for my Mind	All	"Child, Adult, Older Adult"		140	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	MFMM265263	"November 1, 2019"	31-Dec-21	31-Dec-21	18-Oct-19		18-Oct-19			https://ClinicalTrials.gov/show/NCT04132362
439	NCT03883035	Quality Control of Esophagogastroduodenoscopy Using Real-time EGD Auxiliary System		Completed	No Results Available	Esophagogastroduodenoscopy			Other: automatic quality-control system	detection rate of gastric neoplasms|mean number of gastric neoplasms detected|mean inspection completeness|mean inspection time|errors of EAS	Yanqing Li|Shandong University	All	"40 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	1060	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Other"	2019SDU-QILU-02	"March 20, 2019"	31-Oct-19	31-Oct-19	20-Mar-19		30-Jan-20	"Department of Gastroenterology, Qilu Hospital, Shandong University, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT03883035
440	NCT02810093	Big Data and Text-mining Technologies Applied for Breast Cancer Medical Data Analysis	SENOMETRY	Unknown status	No Results Available	Breast Cancer			Other: retrospective medical records analyze	"Validate the reliability of a computer-based, automatic information retrieval method specific to medical records from breast cancer multidisciplinary meetings|Breast cancer recurrence rate after some therapeutic procedures"	"University Hospital, Strasbourg, France|Quantmetry"	Female	"18 Years and older   (Adult, Older Adult)"		10000	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	6373	"May 1, 2016"	16-Nov	16-Dec	22-Jun-16		22-Jun-16	"University Strasbourg Hospital, Strasbourg, France"		https://ClinicalTrials.gov/show/NCT02810093
441	NCT03112928	"Phantom Motor Execution Via MPR, VR/AR, and SG, as a Treatment of PLP"		Recruiting	No Results Available	Phantom Limb Pain			Device: Phantom Motor Execution|Device: Phantom Motor Imagery	Pain Rating Index registered at the beginning (1st session) and at the end of the treatment (15th session).|Pain Disability Index registered at the beginning (1st session) and the end of the treatment (15th session).	"Integrum|Chalmers University of Technology|Sahlgrenska University Hospital, Sweden|Örebro University, Sweden|Bräcke Diakoni, Sweden|University Rehabilitation Institute, Republic of Slovenia|University Hospital, Ghent|University Medical Center Groningen|University of New Brunswick|National University of Ireland, Galway, Ireland|Ruhr University of Bochum"	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	66	Industry|Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment"	7733	"May 8, 2017"	20-Apr	20-Apr	13-Apr-17		7-Aug-19	"Rehabilitation Centre Ghent University Hospital, Ghent, East Flanders, Belgium|Institue of Biomedical Engineering, University of New Brunswick, Fredericton, New Brunswick, Canada|School of Psychology, National University of Ireland, Galway, Connacht, Ireland|University of Groningen, University Medical Center Groningen, Department of Rehabilitation Medicine, Groningen, Netherlands|University Rehabilitation Institute, Ljubljana, Slovenia|Ortopedteknik, Region Örebro län, Örebro, Närke, Sweden|Bräcke Diakoni, Stockholm, Uppland, Sweden|Gåskolan, Ortopedtekniska avdelningen, Göteborg, Västergötland, Sweden"		https://ClinicalTrials.gov/show/NCT03112928
442	NCT03745118	"Development of a Practical, Minimally Invasive Seizure Gauge"		Enrolling by invitation	No Results Available	Epilepsy			Device: EpiTel EpiLog|Device: Byte Flies Sensor Dots|Device: Empatica E4|Device: Biovotion Everion|Device: GeneActiv	Assessment of Physiological Signals Measurable with Wearable Sensors|Pattern Analysis	Mayo Clinic	All	"7 Years and older   (Child, Adult, Older Adult)"	Not Applicable	80	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	18-008357	"November 19, 2018"	1-Dec-20	20-Dec	19-Nov-18		21-Jan-20	"Mayo Clinic, Rochester, Minnesota, United States"		https://ClinicalTrials.gov/show/NCT03745118
443	NCT03209102	Emotional Regulation and Impulsivity Among Adolescents With Borderline Personality Disorder	ADOLIMIS	Not yet recruiting	No Results Available	Borderline Personality Disorder|Adolescent Development			Other: Clinical assessment|Behavioral: Stress elicitation experiment|Other: Structural and Functional MRI|Biological: salivary collections of amylase and cortisol	Comparison between subjective and objective acute stress experience in BPD Adolescents vs Healthy controls|Investigating the neural correlates and modulation of motivation and impulsivity using structural and task-based fMRI	"Institut National de la Santé Et de la Recherche Médicale, France"	All	"13 Years to 18 Years   (Child, Adult)"	Phase 2	66	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	C16-58	"July 1, 2017"	19-Sep	20-Sep	6-Jul-17		6-Jul-17			https://ClinicalTrials.gov/show/NCT03209102
444	NCT01505478	Comparing an Automated to a Conventional Sepsis Clinical Prediction Rule		Withdrawn	No Results Available	Sepsis				28 day in-hospital mortality|ICU Admission	Beth Israel Deaconess Medical Center|New York University|United States Department of Defense	All	"18 Years and older   (Adult, Older Adult)"		0	Other|U.S. Fed	Observational	Observational Model: Cohort|Time Perspective: Prospective	2011P000356	"July 1, 2012"			6-Jan-12		5-Apr-17	"Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States"		https://ClinicalTrials.gov/show/NCT01505478
445	NCT03629743	Correlate of Surface Electroencephalogram (EEG) With Implanted EEG Recordings (ECOG)		Recruiting	No Results Available	Anesthesia			Device: EEG|Device: ECOG	"Electrocardiogram (EEG) change before, during, and after anesthesia.|Electrocardiogram (EEG) change during any changes in conciousness.|Electrocardiogram (EEG) change during any seizures."	Stanford University	All	"18 Years and older   (Adult, Older Adult)"		20	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	45987	"November 11, 2019"	1-Dec-20	1-Dec-20	14-Aug-18		19-Nov-19	"Stanford University, Stanford, California, United States"		https://ClinicalTrials.gov/show/NCT03629743
